#domain,ioc,uri_path
service-hsyluctr-1252427727.bj.tencentapigw.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
service-inqt462u-1314366639.hk.tencentapigw.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-j78tszan-1319584009.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain,/product
service-jj4sc5n0-1325804472.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-jnajkkdg-1318687485.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Forge/static/HULNWCWI
service-ku7vp6lj-1253504731.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-ldzftvcf-1252123187.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/getit
service-lj3klqg6-1308639534.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/getit
service-r3og53uv-1303913364.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-rbr85ft5-1259685312.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/get
service-rkcvh0tf-1252325407.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/interface/picture/get
set.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain,/ga.js
static.chat5188.top,Possible Cobalt Strike C2 Domain,/api/v3/s25FogL
su.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
support.popuiarenlinea.com,Possible Cobalt Strike C2 Fronted Domain,/lv
sz-sourcetail-v4.volcmlt.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain,/include/template/isx.php
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
update.micromain.cfd,Possible Cobalt Strike C2 Domain,/462c30d592f23b18/jquery/3.7.1/jquery.min.js
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/g.pixel
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/__utm.gif
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/__utm.gif
update.winservers-network.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
visualstudio.microsoft.com.volcgslb-mlt.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html
www.dahuatec.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc
www.fiash.info,Possible Cobalt Strike C2 Domain,/api/3
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain,/image/
www.microsoftsendtime.shop,Possible Cobalt Strike C2 Domain,/promote/static/XV4SPLMOG
www.sonystore.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.test9977.tk,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
www.test9977.tk,Possible Cobalt Strike C2 Domain,/cx
www.testtttt.com,Possible Cobalt Strike C2 Domain,/__utm.gif
www.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
www.xahoithongtins.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.6.min.js
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/async/newtab_promos
zx.scsvcreg.com,Possible Cobalt Strike C2 Domain,/tab_shop_active
