#domain,ioc,uri_path
ns2.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/visit.js
ns2.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns2.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help
ns2.vip404.eu.org,Possible Cobalt Strike C2 Domain,/cx
ns2.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns3.aliyunn.com.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns3.fuckworldxxx.shop,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
ns3.microsoftgame.online,Possible Cobalt Strike C2 Domain,/owa/
ns3.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help
ns3.vip404.eu.org,Possible Cobalt Strike C2 Domain,/j.ad
ns3.zpepc.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns4.tencentupdate.buzz,Possible Cobalt Strike C2 Domain,/help
ns8.bpibank.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns8.x7z.mom,Possible Cobalt Strike C2 Domain,/match
ns88.nanyafpg.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
ns9.bpibank.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
nt1.227api.com,Possible Cobalt Strike C2 Domain,/push
nt2.227api.com,Possible Cobalt Strike C2 Domain,/load
nt3.227api.com,Possible Cobalt Strike C2 Domain,/dot.gif
oa.dahuatec.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc
office365.homes,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
oraclecloudsig.com,Possible Cobalt Strike C2 Fronted Domain,/translated
oss.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/omp/api/micro_app/get_org_app
otomotif.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronted Domain,/dhl
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/ptj
poopy.aarkhipov.ru,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
powerbi3-dffqb3gfbudugyas.z03.azurefd.net,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
primo.freshhema.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
proya.cyou,Possible Cobalt Strike C2 Domain,/jquery-3.3.3.min.js
qax.gsldedie.sbs,Possible Cobalt Strike C2 Domain,/462c30d592f23b18/jquery/3.7.1/jquery.min.js
qw.scsvcreg.com,Possible Cobalt Strike C2 Domain,/tab_shop_active
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain,/j.ad
search.zfly.fun,Possible Cobalt Strike C2 Domain,/jquery-3.6.0.min.js
security-socks.expert,Possible Cobalt Strike C2 Domain,/Understand/v2.61/RYLQUPM8LL
security-socks777.com,Possible Cobalt Strike C2 Domain,/Understand/v2.61/RYLQUPM8LL
senkiv.ru,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/admin/login
service-1scv7ngm-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/user
service-2c8ubzu7-1257331363.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/match
service-6qlmfr7s-1312562872.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-8lop3tot-1321953982.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-8rv78e5d-1319481525.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/index.jsp
service-9sehd1r7-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/x
service-b0kt7bkd-1307485220.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-b7g5qx9l-1318401771.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/stream
service-bjb5aex0-1318428097.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/user
service-bzbl2uq7-1312255927.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/ga.js
service-cedqvyh7-1322145958.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/ga.js
service-d1yss7wi-1314780031.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/www/handle/doc
service-dduj2otc-1303958398.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Contact/v9.23/AODFY6X8UV
service-e1idmqlj-1259321672.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-e22kp8jz-1259321672.bj.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/jquerys-6.3.5.max.js
service-hsyluctr-1252427727.bj.tencentapigw.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Test/protect/JZJ8DALCUB
service-ibyz0l1g-1312758067.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/cm
service-inqt462u-1314366639.hk.tencentapigw.cn,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
service-j78tszan-1319584009.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain,/product
service-jj4sc5n0-1325804472.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/x
service-jnajkkdg-1318687485.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/Forge/static/HULNWCWI
service-k43f6rw9-1308954353.kr.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/getit
service-ku7vp6lj-1253504731.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-ldzftvcf-1252123187.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/getit
service-lj3klqg6-1308639534.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/api/getit
service-pgxnje5g-1307231181.gz.tencentapigw.com,Possible Cobalt Strike C2 Domain,/pixel.gif
service-ps16whvt-1304800271.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-qwflcy7c-1305872204.gz.tencentapigw.com.cn,Possible Cobalt Strike C2 Domain,/bootstrap-5.3.1.min.js
service-r3og53uv-1303913364.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain,/api/x
service-rbr85ft5-1259685312.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain,/api/get
service-rkcvh0tf-1252325407.cd.tencentapigw.com,Possible Cobalt Strike C2 Domain,/interface/picture/get
set.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
shop.amazon-aws.fr,Possible Cobalt Strike C2 Domain,/visit.js
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain,/ga.js
static.chat5188.top,Possible Cobalt Strike C2 Domain,/api/v3/s25FogL
sts.tencentopenapi.xyz,Possible Cobalt Strike C2 Domain,/image/
su.urlz.ws,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
summerevent2023.com,Possible Cobalt Strike C2 Domain,/tip.php
support.popuiarenlinea.com,Possible Cobalt Strike C2 Fronted Domain,/lv
sz-sourcetail-v4.volcmlt.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html
tdinsuranceapply-a0guehftc6fzegca.a03.azurefd.net,Possible Cobalt Strike C2 Domain,/mms.html
test.qqweixinzhuce.top,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
thursday.kfc4.icu,Possible Cobalt Strike C2 Fronting Domain,/0RZDKXR/ADGJJ4B3VRSPAV9KC3MXI80OFD.css
update.360safety.xyz,Possible Cobalt Strike C2 Domain,/push
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
update.micromain.cfd,Possible Cobalt Strike C2 Domain,/462c30d592f23b18/jquery/3.7.1/jquery.min.js
update.microsoftapply.com,Possible Cobalt Strike C2 Domain,/g.pixel
update.microsofthk.com,Possible Cobalt Strike C2 Domain,/__utm.gif
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain,/__utm.gif
update.winservers-network.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
utilityreport.azureedge.net,Possible Cobalt Strike C2 Domain,/ms-settings
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/visit.js
visualstudio.microsoft.com.volcgslb-mlt.com,Possible Cobalt Strike C2 Fronted Domain,/mall_100_100.html
vpn.icbcbc.com.cn,Possible Cobalt Strike C2 Domain,/omp/api/get_page_config
webpoint.micromoto.fun,Possible Cobalt Strike C2 Domain,/api/3
www.614110.xyz,Possible Cobalt Strike C2 Domain,/milu_image/
www.alipan.lol,Possible Cobalt Strike C2 Domain,/api/3
www.chinamobile.live,Possible Cobalt Strike C2 Domain,/api/3
www.dahuatec.xyz,Possible Cobalt Strike C2 Domain,/www/handle/doc
www.fiash.info,Possible Cobalt Strike C2 Domain,/api/3
www.flash-update.info,Possible Cobalt Strike C2 Domain,/pixel
www.flashl.tw,Possible Cobalt Strike C2 Domain,/jsbhn.js
www.flashl.tw,Possible Cobalt Strike C2 Fronting Domain,/mylibs.js
www.gfyl.fun,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.hainanwctvme.xyz,Possible Cobalt Strike C2 Domain,/image/
www.installbootstrap.com,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
www.microsoftonline.info,Possible Cobalt Strike C2 Domain,/j.ad
www.microsoftsendtime.shop,Possible Cobalt Strike C2 Domain,/promote/static/XV4SPLMOG
www.myhuaweicloud.com,Possible Cobalt Strike C2 Fronting Domain,/info
www.qichen.fun,Possible Cobalt Strike C2 Domain,/ca
www.rollupdate.com,Possible Cobalt Strike C2 Domain,/rn.js
www.sonystore.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
www.stylejason.com,Possible Cobalt Strike C2 Domain,/push
www.test9977.tk,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
www.test9977.tk,Possible Cobalt Strike C2 Domain,/cx
www.testtttt.com,Possible Cobalt Strike C2 Domain,/__utm.gif
www.weepstakes.com,Possible Cobalt Strike C2 Domain,/images/branding/googlelogo/1x/googlelogo_color_150x54Dp.png
www.xahoithongtins.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.6.min.js
www.yamaxun.blog,Possible Cobalt Strike C2 Fronted Domain,/Originate/v4.01/QGQTNORA
www2.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain,/async/newtab_promos
yamaxun.blog,Possible Cobalt Strike C2 Fronting Domain,/Originate/v4.01/QGQTNORA
zj.court.cn.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
zx.scsvcreg.com,Possible Cobalt Strike C2 Domain,/tab_shop_active
