2024-05-22 03:41:20,harugasumi,url,https://myevokeevents.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,domain,parkmodeloutlet.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:41:20,harugasumi,url,https://parkmodeloutlet.com,#phishing,https://twitter.com/harugasumi/status/1793124961512738859
2024-05-22 03:42:04,harugasumi,domain,shopjsutice.com,#phishing,https://twitter.com/harugasumi/status/1793125145554665857
2024-05-22 03:42:04,harugasumi,url,https://shopjsutice.com,#phishing,https://twitter.com/harugasumi/status/1793125145554665857
2024-05-22 03:42:04,harugasumi,domain,travelzuche.com,#phishing,https://twitter.com/harugasumi/status/1793125145554665857
2024-05-22 03:42:04,harugasumi,url,https://travelzuche.com,#phishing,https://twitter.com/harugasumi/status/1793125145554665857
2024-05-22 04:16:27,harugasumi,domain,epocerd.co.jp.csfkrd.com,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,url,https://epocerd.co.jp.csfkrd.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,domain,epocerd.co.jp.eventphotographerfinder.com,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,url,https://epocerd.co.jp.eventphotographerfinder.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,domain,epocerd.co.jp.fenfenmami.com,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,url,https://epocerd.co.jp.fenfenmami.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,domain,epocerd.co.jp.festivalrastro.com,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,url,https://epocerd.co.jp.festivalrastro.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,domain,epocerd.co.jp.fhxdsgj.com,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:27,harugasumi,url,https://epocerd.co.jp.fhxdsgj.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133801872502832
2024-05-22 04:16:48,harugasumi,domain,epocerd.co.jp.firstlookopticllc.com,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,url,https://epocerd.co.jp.firstlookopticllc.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,domain,epocerd.co.jp.lzfunding.com,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,url,https://epocerd.co.jp.lzfunding.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,domain,epocerd.co.jp.wdgualou.com,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,url,https://epocerd.co.jp.wdgualou.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,domain,epocerd.co.jp.weyeyao.com,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,url,https://epocerd.co.jp.weyeyao.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,domain,epocerd.co.jp.xiangyinjr.com,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,url,https://epocerd.co.jp.xiangyinjr.com/Xapz,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:16:48,harugasumi,ip,43.130.239.48,#phishing,https://twitter.com/harugasumi/status/1793133886811279684
2024-05-22 04:30:37,Metemcyber,domain,slxznhzs.com,#phishing,https://twitter.com/Metemcyber/status/1793137365239951651
2024-05-22 04:30:37,Metemcyber,url,https://www.slxznhzs.com,#phishing,https://twitter.com/Metemcyber/status/1793137365239951651
2024-05-22 04:30:37,Metemcyber,url,http://43.128.252.69,#phishing,https://twitter.com/Metemcyber/status/1793137365239951651
2024-05-22 04:30:37,Metemcyber,ip,43.128.252.69,#phishing,https://twitter.com/Metemcyber/status/1793137365239951651
2024-05-22 04:40:32,harugasumi,domain,qkgvzzi.xyz,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,url,https://qkgvzzi.xyz/)(165.154.231.17,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
2024-05-22 04:40:32,harugasumi,domain,smbxikw.com,#phishing,https://twitter.com/harugasumi/status/1793139860871708945
